league_name,level_category_points,league_points_f13
gmhl,65.90909091,1200.0
gnu18l,70.04545455,1400.0
gojhl,70.04545455,1400.0
gthl-u14,53.5,600.0
gthl-u14-aa,57.63636364,800.0
gthl-u15,57.63636364,800.0
gthl-u15-aa,61.77272727,1000.0
gthl-u16,61.77272727,1000.0
gthl-u16-aa,65.90909091,1200.0
gthl-u17-aa,70.04545455,1400.0
gthl-u18,78.31818182,2000.0
gthl-u18-aa,70.04545455,1400.0
gthl-u21,82.45454545,2400.0
hc-u21,70.04545455,1400.0
hc-u21c,70.04545455,1400.0
heo-u14,61.77272727,1000.0
heo-u14-aa,57.63636364,800.0
heo-u15,61.77272727,1000.0
heo-u15-aa,61.77272727,1000.0
heo-u16,61.77272727,1000.0
heo-u16-aa,65.90909091,1200.0
heo-u18,70.04545455,1400.0
heo-u18-aa,65.90909091,1200.0
hjhl,65.90909091,1200.0
hlinka-gretzky-cup,8.0,0.0
hno,70.04545455,1400.0
hsl-u14,57.63636364,800.0
hsl-u15,61.77272727,1000.0
hsl-u18,70.04545455,1400.0
htjhl,70.04545455,1400.0
hw14hl-u15,57.63636364,800.0
hw14hl-u18,70.04545455,1400.0
independent,16.27272727,0.0
independent-jr,16.27272727,0.0
independent-w,16.27272727,0.0
international-jr-w,16.27272727,0.0
iqbc,70.04545455,1400.0
isjhl,70.04545455,1400.0
jcwc,70.04545455,1400.0
jphl-u14,53.5,600.0
jphl-u15,57.63636364,800.0
jphl-u17,65.90909091,1200.0
jphl-u18,70.04545455,1400.0
jshl-u16,61.77272727,1000.0
jshl-u18,70.04545455,1400.0
juvenile,70.04545455,1400.0
jwhl-w,70.04545455,1400.0
kijhl,70.04545455,1400.0
kjhl,70.04545455,1400.0
lhatm18bb,65.90909091,1200.0
lhbbf,70.04545455,1400.0
lhc,70.04545455,1400.0
lhcs,70.04545455,1400.0
lhdaaq,61.77272727,1000.0
lhjaall,70.04545455,1400.0
lhjabf,70.04545455,1400.0
lhjacn,70.04545455,1400.0
lhjacrse,70.04545455,1400.0
lhjal,70.04545455,1400.0
lhjall,70.04545455,1400.0
