nhl_scouting_rank,list_type,player_name,team,league,birthdate,position,factor_28_nhl_scouting_points,total_in_list,birth_year,player_id,match_type
101,INTL_SKATERS,"URONEN, EELIS",HIFK JR.,FINLAND-JR.,24-Jun-2008,LW,606.3,128,2008,959433,exact
102,INTL_SKATERS,"ANDERBERG, MORGAN",VAXJO,SWEDEN,27-Oct-2007,C,602.4,128,2007,855448,exact
103,INTL_SKATERS,"VAANANEN, VILMERI",JOKERIT JR.,FINLAND-JR.,13-Aug-2008,D,598.4,128,2008,977022,fuzzy_81
104,INTL_SKATERS,"LAMAN, ROMAN",OMSK JR.,RUSSIA-JR.,30-Jan-2008,C,594.5,128,2008,983923,exact
105,INTL_SKATERS,"MATTA, IVAN",MICHALOVCE,SLOVAKIA,11-Jan-2008,C,590.6,128,2008,875244,exact
106,INTL_SKATERS,"NOMME, ADAM",FROLUNDA JR.,SWEDEN-JR.,21-Jan-2008,RW,586.6,128,2008,800522,fuzzy_90
107,INTL_SKATERS,"SYSOYEV, DANIL",MAGNITOGORSK JR.,RUSSIA-JR.,09-Dec-2007,C,582.7,128,2007,901363,exact
108,INTL_SKATERS,"RASANEN, VEETI",JOKERIT JR.,FINLAND-JR.,26-Aug-2006,LW,578.7,128,2006,962325,fuzzy_85
109,INTL_SKATERS,"KUBIN, VOJTECH",BRNO JR.,CZECHIA-JR.,11-Jan-2008,C,574.8,128,2008,917730,exact
110,INTL_SKATERS,"ROING, RASMUS",FARJESTAD JR.,SWEDEN-JR.,17-Feb-2008,C,570.9,128,2008,869580,fuzzy_91
111,INTL_SKATERS,"SVANCAR, VOJTECH",SLAVIA JR.,CZECHIA-JR.,12-May-2008,LW,566.9,128,2008,977170,exact
112,INTL_SKATERS,"PARSSINEN, JESSE",TPS,FINLAND,15-Oct-2007,C,563.0,128,2007,925310,fuzzy_93
113,INTL_SKATERS,"VATJUS, MIKO",LUKKO JR.,FINLAND-JR.,02-Jul-2008,C,559.1,128,2008,962238,exact
114,INTL_SKATERS,"PAUL, DOUGLAS",LINKOPING JR.,SWEDEN-JR.,11-Jul-2008,C,555.1,128,2008,919780,exact
115,INTL_SKATERS,"MELNIKOV, YAN",NIZHNY NOVGOROD JR.,RUSSIA-JR.,16-Sep-2007,RW,551.2,128,2007,836676,exact
116,INTL_SKATERS,"CERNAK, RODERIK",BRATISLAVA JR.,SLOVAKIA-JR.,19-Mar-2008,D,547.2,128,2008,958706,exact
117,INTL_SKATERS,"SUTTER, KIMI",GCK ZURICH JR.,SWISS-JR.,10-Apr-2008,RW,543.3,128,2008,937151,exact
118,INTL_SKATERS,"KIM, MIKAEL",ROGLE JR.,SWEDEN-JR.,08-Aug-2008,C,539.4,128,2008,946883,exact
119,INTL_SKATERS,"KOSSILA, TINO",JOKERIT JR.,FINLAND-JR.,13-Feb-2008,RW,535.4,128,2008,925166,exact
120,INTL_SKATERS,"ANTONOV, YAROSLAV",IRBIS KAZAN,RUSSIA-JR.,30-Dec-2007,RW,531.5,128,2007,995649,exact
121,INTL_SKATERS,"ONDREJCAK, MICHAL",SLOVAKIA U18 (SVK-2),SLOVAKIA-2,26-May-2008,LW,527.6,128,2008,876844,exact
122,INTL_SKATERS,"ILYIN, ARSENI",SPARTAK JR.,RUSSIA-JR.,24-Dec-2007,LW,523.6,128,2007,836583,exact
123,INTL_SKATERS,"SIDOROV, PAVEL",CSKA JR.,RUSSIA-JR.,04-Apr-2008,RW,519.7,128,2008,1076775,exact
124,INTL_SKATERS,"SZAROWSKI, ONDREJ",VITKOVICE JR.,CZECHIA-JR.,02-Jan-2008,D,515.7,128,2008,945024,exact
125,INTL_SKATERS,"OBUSEK, ADAM",TRENCIN JR.,SLOVAKIA-JR.,06-Feb-2008,C,511.8,128,2008,874080,exact
126,INTL_SKATERS,"KOVALENKO, ALEKSANDR",CHELYABINSK JR.,RUSSIA-JR.,12-Oct-2007,D,507.9,128,2007,1003126,fuzzy_94
127,INTL_SKATERS,"CERNY, VOJTECH",SPARTA JR.,CZECHIA-JR.,31-Jan-2008,D,503.9,128,2008,980642,exact
128,INTL_SKATERS,"FOGELNEST, MARK",UFA JR.,RUSSIA-JR.,03-Jul-2008,LW,500.0,128,2008,896179,exact
1,INTL_GOALIES,"BORICHEV, DMITRI",LOKO-76 YAROSLAVL,RUSSIA-JR.,19-Jun-2008,G,1000.0,20,2008,895834,exact
2,INTL_GOALIES,"RYBKIN, YEGOR",NIZHNY NOVGOROD JR.,RUSSIA-JR.,03-Dec-2007,G,973.7,20,2007,836548,exact
3,INTL_GOALIES,"LINDBERG NILSSON, DOUGLAS",FARJESTAD JR.,SWEDEN-JR.,28-Mar-2008,G,947.4,20,2008,905354,exact
4,INTL_GOALIES,"TAMM, VIGGO",LEKSAND JR.,SWEDEN-JR.,04-Jun-2008,G,921.1,20,2008,964660,exact
5,INTL_GOALIES,"POLETIN, FRANTISEK",PELICANS JR.,FINLAND-JR.,13-Sep-2008,G,894.7,20,2008,956270,exact
6,INTL_GOALIES,"KARBAINOV, MATVEY",SKA-ACADEMY ST. PETERSBURG,RUSSIA-JR.,06-Nov-2007,G,868.4,20,2007,901294,fuzzy_93
7,INTL_GOALIES,"VERMIROVSKY, DAVID",PARDUBICE JR.,CZECHIA-JR.,25-Jul-2008,G,842.1,20,2008,982457,exact
8,INTL_GOALIES,"IVCHENKO, DMITRI",OMSK JR.,RUSSIA-JR.,29-Jun-2008,G,815.8,20,2008,896136,exact
9,INTL_GOALIES,"CHARVAT, SEBASTIAN",LIBEREC JR.,CZECHIA-JR.,31-Jan-2008,G,789.5,20,2008,937110,fuzzy_94
10,INTL_GOALIES,"HRENAK, SAMUEL",TRENCIN JR.,SLOVAKIA-JR.,19-Mar-2008,G,763.2,20,2008,873736,exact
11,INTL_GOALIES,"GAMMALS, WILLIAM",TAPPARA JR.,FINLAND-JR.,12-Feb-2008,G,736.8,20,2008,892430,exact
12,INTL_GOALIES,"SELIVANOV, VLADIMIR",DYNAMO MOSCOW JR.,RUSSIA-JR.,25-Jul-2008,G,710.5,20,2008,895797,exact
13,INTL_GOALIES,"TJARNLUND, MILO",ROGLE JR.,SWEDEN-JR.,17-Mar-2008,G,684.2,20,2008,795291,fuzzy_92
14,INTL_GOALIES,"POVAROV, MIKHAIL",UFA JR.,RUSSIA-JR.,10-Jan-2008,G,657.9,20,2008,896002,exact
15,INTL_GOALIES,"KERKOLA, PATRIK",KALPA,FINLAND,29-Mar-2007,G,631.6,20,2007,873019,exact
16,INTL_GOALIES,"PLUMINS, PATRIKS",ZEMGALE,LATVIA,07-Jan-2008,G,605.3,20,2008,999861,exact
17,INTL_GOALIES,"PSOHLAVEC, MARTIN",KARLOVY VARY JR.,CZECHIA-JR.,06-May-2008,G,578.9,20,2008,878982,exact
18,INTL_GOALIES,"RIIHIMAKI, AARNI",JYP JR.,FINLAND-JR.,28-Jun-2008,G,552.6,20,2008,925079,fuzzy_93
19,INTL_GOALIES,"AINASTO, JUUSO",JOKERIT JR.,FINLAND-JR.,17-Mar-2008,G,526.3,20,2008,925170,exact
20,INTL_GOALIES,"STENGARD, GUSTAV",VASTERAS JR.,SWEDEN-JR.,03-Aug-2008,G,500.0,20,2008,1011384,fuzzy_93
