nhl_scouting_rank,list_type,player_name,team,league,birthdate,position,factor_28_nhl_scouting_points,total_in_list
36,INTL_SKATERS,"FEDOSEYEV, YAROSLAV",CHELYABINSK JR.,RUSSIA-JR.,05-Nov-2007,D,862.2,128
37,INTL_SKATERS,"SAPOZHNIKOV, ALEXANDER",STUPINO JR.,RUSSIA-JR.,17-Jan-2007,D,858.3,128
38,INTL_SKATERS,"SZONGOTH, DOMAN",KOOKOO JR.,FINLAND-JR.,08-Jun-2008,C,854.3,128
39,INTL_SKATERS,"ANDERSSON, LUDVIG",OREBRO JR.,SWEDEN-JR.,24-May-2008,RW,850.4,128
40,INTL_SKATERS,"FROLO, JAKUB",ILVES JR.,FINLAND-JR.,05-Dec-2007,C,846.5,128
41,INTL_SKATERS,"BARTHOLDSSON, NILS",ROGLE JR.,SWEDEN-JR.,25-Apr-2008,RW,842.5,128
42,INTL_SKATERS,"MATYEV, YAROSLAV",KHABAROVSK JR.,RUSSIA-JR.,11-Dec-2007,D,838.6,128
43,INTL_SKATERS,"LUNDQVIST, WILLIAM",LEKSAND JR.,SWEDEN-JR.,08-Nov-2007,D,834.6,128
44,INTL_SKATERS,"TUKIO, OSSI",ILVES JR.,FINLAND-JR.,03-Nov-2007,D,830.7,128
45,INTL_SKATERS,"KURKA, PAVEL",KARLOVY VARY JR.,CZECHIA-JR.,14-Jun-2008,D,826.8,128
46,INTL_SKATERS,"PALME, OLA",VAXJO JR.,SWEDEN-JR.,09-Feb-2008,D,822.8,128
47,INTL_SKATERS,"DOLGOPOLOV, ILYA",DYNAMO ST. PETERSBURG JR.,RUSSIA-JR.,18-Oct-2007,D,818.9,128
48,INTL_SKATERS,"LAITINEN, JIKO",ILVES JR.,FINLAND-JR.,16-Apr-2008,C,815.0,128
49,INTL_SKATERS,"SEDLACEK, DAVID",KARLOVY VARY JR.,CZECHIA-JR.,06-Jan-2008,LW,811.0,128
50,INTL_SKATERS,"IVANOV, ALEXANDER",BARS KAZAN,RUSSIA-2,10-Jun-2008,D,807.1,128
51,INTL_SKATERS,"KNIGHTS, THEODOR",MODO JR.,SWEDEN-JR.,16-Apr-2008,D,803.1,128
52,INTL_SKATERS,"KOTKOV, MATVEI",YAROSLAVL JR.,RUSSIA-JR.,27-Aug-2008,RW,799.2,128
53,INTL_SKATERS,"MOROZOV, ALEXANDER",TOGLIATTI JR.,RUSSIA-JR.,14-Jul-2008,D,795.3,128
54,INTL_SKATERS,"FLORIS, JAKUB",LUKKO JR.,FINLAND-JR.,19-Feb-2008,D,791.3,128
55,INTL_SKATERS,"MATYUK, ARTYOM",NIZHNY NOVGOROD JR.,RUSSIA-JR.,02-Nov-2007,C,787.4,128
56,INTL_SKATERS,"JOSBRANT, MANS",LULEA JR.,SWEDEN-JR.,23-Apr-2008,LW,783.5,128
57,INTL_SKATERS,"LAATIKAINEN, MAX",K-ESPOO JR.,FINLAND-JR.,14-Sep-2008,D,779.5,128
58,INTL_SKATERS,"TSYPLAKOV, GLEB",KHANTY-MANSIYSK JR.,RUSSIA-JR.,14-Jul-2008,LW,775.6,128
59,INTL_SKATERS,"LARSSON, MELWIN",BRYNAS JR.,SWEDEN-JR.,16-Nov-2007,LW,771.7,128
60,INTL_SKATERS,"BRABENEC, JAN",BRNO JR.,CZECHIA-JR.,02-Oct-2007,C,767.7,128
61,INTL_SKATERS,"RYABYKIN, ELISEI",DYNAMO MOSCOW JR.,RUSSIA-JR.,08-Jul-2008,D,763.8,128
62,INTL_SKATERS,"BRONGEL-LARSSON, AXEL",FROLUNDA JR.,SWEDEN-JR.,01-Nov-2007,D,759.8,128
63,INTL_SKATERS,"KALIMULLIN, ADEL",IRBIS KAZAN,RUSSIA-JR.,12-Apr-2008,RW,755.9,128
64,INTL_SKATERS,"KARSAY, SAMUEL",TRENCIN JR.,SLOVAKIA-JR.,12-Mar-2008,RW,752.0,128
65,INTL_SKATERS,"GASTRIN, MALCOM",MODO JR.,SWEDEN-JR.,19-Aug-2008,LW,748.0,128
66,INTL_SKATERS,"CARELL, FELIX",MALMO,SWEDEN,09-May-2006,D,744.1,128
67,INTL_SKATERS,"JAKUBEC, MICHAL",TRENCIN JR.,SLOVAKIA-JR.,14-Jul-2008,C,740.2,128
68,INTL_SKATERS,"SJOSTROM, OLIWER",BJORKLOVEN,SWEDEN-2,08-Apr-2007,D,736.2,128
69,INTL_SKATERS,"GALVAS, TOMAS",LIBEREC,CZECHIA,11-Feb-2006,D,732.3,128
70,INTL_SKATERS,"BOUVARD, FABRICE",GCK ZURICH JR.,SWISS-JR.,06-Jun-2008,C,728.3,128
71,INTL_SKATERS,"PUFR, ANTONIN",LIBEREC JR.,CZECHIA-JR.,25-Jul-2008,D,724.4,128
72,INTL_SKATERS,"TARVAINEN, JOEL",KALPA JR.,FINLAND-JR.,06-Apr-2008,D,720.5,128
73,INTL_SKATERS,"NICOLAYSEN, HENRY",SODERTALJE JR.,SWEDEN-JR.,16-Feb-2008,D,716.5,128
74,INTL_SKATERS,"TUUVA, LEO",LUKKO,FINLAND,02-Aug-2006,RW,712.6,128
75,INTL_SKATERS,"CERMAK, TOMAS",MLADA BOLESLAV JR.,CZECHIA-JR.,29-Jun-2008,D,708.7,128
76,INTL_SKATERS,"USTINKOV, DANIIL",GCK ZURICH,SWISS-2,26-Aug-2006,D,704.7,128
77,INTL_SKATERS,"VAROSYAN, RAFIK",VLADIVOSTOK JR.,RUSSIA-JR.,01-Oct-2007,LW,700.8,128
78,INTL_SKATERS,"DENISOV, PAVEL",OMSK JR.,RUSSIA-JR.,31-Aug-2008,D,696.9,128
79,INTL_SKATERS,"HEDQVIST, ISAC",LULEA,SWEDEN,22-Mar-2005,C,692.9,128
80,INTL_SKATERS,"DANIELSSON, LIAM",OREBRO,SWEDEN,05-Aug-2006,RW,689.0,128
81,INTL_SKATERS,"SIMONOV, SEMYON",BARYS ASTANA,RUSSIA,17-Jun-2005,RW,685.0,128
82,INTL_SKATERS,"SOMERVUORI, JERE",HIFK,FINLAND,10-Aug-2007,LW,681.1,128
83,INTL_SKATERS,"BUZAEV, KIRILL",IRBIS KAZAN,RUSSIA-JR.,08-Sep-2008,LW,677.2,128
84,INTL_SKATERS,"SVENSK, VERTTI",SAIPA JR.,FINLAND-JR.,09-Nov-2007,D,673.2,128
85,INTL_SKATERS,"BYKOV, ANDREI",SPARTAK JR.,RUSSIA-JR.,25-Dec-2007,C,669.3,128
86,INTL_SKATERS,"URONEN, ANTTONI",HIFK,FINLAND,24-Jun-2008,C,665.4,128
87,INTL_SKATERS,"TUZIN, TSIMAFEI",LULEA JR.,SWEDEN-JR.,11-Oct-2007,LW,661.4,128
88,INTL_SKATERS,"WAHLROOS, OLLI",TPS JR.,FINLAND-JR.,15-Feb-2008,LW,657.5,128
89,INTL_SKATERS,"ZMRHAL, DAVID",JIHLAVA JR.,CZECHIA-JR.,18-May-2008,D,653.5,128
90,INTL_SKATERS,"GROMAKOV, NIKITA",DYNAMO ST. PETERSBURG JR.,RUSSIA-JR.,06-Jan-2008,RW,649.6,128
91,INTL_SKATERS,"JUNTUNEN, OIVA",KOOKOO JR.,FINLAND-JR.,07-Aug-2008,LW,645.7,128
92,INTL_SKATERS,"SODERBERG, LUDVIG",SODERTALJE JR.,SWEDEN-JR.,27-Nov-2007,D,641.7,128
93,INTL_SKATERS,"JUUSTOVAARA, CASPER",LULEA,SWEDEN,25-Oct-2007,C,637.8,128
94,INTL_SKATERS,"KUBIESA, MATEJ",TRINEC,CZECHIA,11-Sep-2006,RW,633.9,128
95,INTL_SKATERS,"CILTHE, HJALMAR",FROLUNDA JR.,SWEDEN-JR.,10-Mar-2008,D,629.9,128
96,INTL_SKATERS,"KHABAROV, MIKHAIL",KHANTY-MANSIYSK JR.,RUSSIA-JR.,28-Dec-2007,D,626.0,128
97,INTL_SKATERS,"HOLEJSOVSKY, JOSEF",SLAVIA JR.,CZECHIA-JR.,24-May-2008,RW,622.0,128
98,INTL_SKATERS,"KALLIO, WILMER",TPS JR.,FINLAND-JR.,14-Jan-2008,RW,618.1,128
99,INTL_SKATERS,"BRATT, ZIGGE",FROLUNDA JR.,SWEDEN-JR.,13-May-2008,D,614.2,128
100,INTL_SKATERS,"PATRIKHAYEV, IVAN",CSKA,RUSSIA,03-Feb-2006,D,610.2,128
101,INTL_SKATERS,"URONEN, EELIS",HIFK JR.,FINLAND-JR.,24-Jun-2008,LW,606.3,128
102,INTL_SKATERS,"ANDERBERG, MORGAN",VAXJO,SWEDEN,27-Oct-2007,C,602.4,128
103,INTL_SKATERS,"VAANANEN, VILMERI",JOKERIT JR.,FINLAND-JR.,13-Aug-2008,D,598.4,128
104,INTL_SKATERS,"LAMAN, ROMAN",OMSK JR.,RUSSIA-JR.,30-Jan-2008,C,594.5,128
105,INTL_SKATERS,"MATTA, IVAN",MICHALOVCE,SLOVAKIA,11-Jan-2008,C,590.6,128
106,INTL_SKATERS,"NOMME, ADAM",FROLUNDA JR.,SWEDEN-JR.,21-Jan-2008,RW,586.6,128
107,INTL_SKATERS,"SYSOYEV, DANIL",MAGNITOGORSK JR.,RUSSIA-JR.,09-Dec-2007,C,582.7,128
108,INTL_SKATERS,"RASANEN, VEETI",JOKERIT JR.,FINLAND-JR.,26-Aug-2006,LW,578.7,128
109,INTL_SKATERS,"KUBIN, VOJTECH",BRNO JR.,CZECHIA-JR.,11-Jan-2008,C,574.8,128
110,INTL_SKATERS,"ROING, RASMUS",FARJESTAD JR.,SWEDEN-JR.,17-Feb-2008,C,570.9,128
111,INTL_SKATERS,"SVANCAR, VOJTECH",SLAVIA JR.,CZECHIA-JR.,12-May-2008,LW,566.9,128
112,INTL_SKATERS,"PARSSINEN, JESSE",TPS,FINLAND,15-Oct-2007,C,563.0,128
113,INTL_SKATERS,"VATJUS, MIKO",LUKKO JR.,FINLAND-JR.,02-Jul-2008,C,559.1,128
114,INTL_SKATERS,"PAUL, DOUGLAS",LINKOPING JR.,SWEDEN-JR.,11-Jul-2008,C,555.1,128
115,INTL_SKATERS,"MELNIKOV, YAN",NIZHNY NOVGOROD JR.,RUSSIA-JR.,16-Sep-2007,RW,551.2,128
116,INTL_SKATERS,"CERNAK, RODERIK",BRATISLAVA JR.,SLOVAKIA-JR.,19-Mar-2008,D,547.2,128
117,INTL_SKATERS,"SUTTER, KIMI",GCK ZURICH JR.,SWISS-JR.,10-Apr-2008,RW,543.3,128
118,INTL_SKATERS,"KIM, MIKAEL",ROGLE JR.,SWEDEN-JR.,08-Aug-2008,C,539.4,128
119,INTL_SKATERS,"KOSSILA, TINO",JOKERIT JR.,FINLAND-JR.,13-Feb-2008,RW,535.4,128
120,INTL_SKATERS,"ANTONOV, YAROSLAV",IRBIS KAZAN,RUSSIA-JR.,30-Dec-2007,RW,531.5,128
121,INTL_SKATERS,"ONDREJCAK, MICHAL",SLOVAKIA U18 (SVK-2),SLOVAKIA-2,26-May-2008,LW,527.6,128
122,INTL_SKATERS,"ILYIN, ARSENI",SPARTAK JR.,RUSSIA-JR.,24-Dec-2007,LW,523.6,128
123,INTL_SKATERS,"SIDOROV, PAVEL",CSKA JR.,RUSSIA-JR.,04-Apr-2008,RW,519.7,128
124,INTL_SKATERS,"SZAROWSKI, ONDREJ",VITKOVICE JR.,CZECHIA-JR.,02-Jan-2008,D,515.7,128
125,INTL_SKATERS,"OBUSEK, ADAM",TRENCIN JR.,SLOVAKIA-JR.,06-Feb-2008,C,511.8,128
126,INTL_SKATERS,"KOVALENKO, ALEKSANDR",CHELYABINSK JR.,RUSSIA-JR.,12-Oct-2007,D,507.9,128
127,INTL_SKATERS,"CERNY, VOJTECH",SPARTA JR.,CZECHIA-JR.,31-Jan-2008,D,503.9,128
128,INTL_SKATERS,"FOGELNEST, MARK",UFA JR.,RUSSIA-JR.,03-Jul-2008,LW,500.0,128
1,INTL_GOALIES,"BORICHEV, DMITRI",LOKO-76 YAROSLAVL,RUSSIA-JR.,19-Jun-2008,G,1000.0,20
2,INTL_GOALIES,"RYBKIN, YEGOR",NIZHNY NOVGOROD JR.,RUSSIA-JR.,03-Dec-2007,G,973.7,20
3,INTL_GOALIES,"LINDBERG NILSSON, DOUGLAS",FARJESTAD JR.,SWEDEN-JR.,28-Mar-2008,G,947.4,20
4,INTL_GOALIES,"TAMM, VIGGO",LEKSAND JR.,SWEDEN-JR.,04-Jun-2008,G,921.1,20
5,INTL_GOALIES,"POLETIN, FRANTISEK",PELICANS JR.,FINLAND-JR.,13-Sep-2008,G,894.7,20
6,INTL_GOALIES,"KARBAINOV, MATVEY",SKA-ACADEMY ST. PETERSBURG,RUSSIA-JR.,06-Nov-2007,G,868.4,20
7,INTL_GOALIES,"VERMIROVSKY, DAVID",PARDUBICE JR.,CZECHIA-JR.,25-Jul-2008,G,842.1,20
8,INTL_GOALIES,"IVCHENKO, DMITRI",OMSK JR.,RUSSIA-JR.,29-Jun-2008,G,815.8,20
9,INTL_GOALIES,"CHARVAT, SEBASTIAN",LIBEREC JR.,CZECHIA-JR.,31-Jan-2008,G,789.5,20
10,INTL_GOALIES,"HRENAK, SAMUEL",TRENCIN JR.,SLOVAKIA-JR.,19-Mar-2008,G,763.2,20
11,INTL_GOALIES,"GAMMALS, WILLIAM",TAPPARA JR.,FINLAND-JR.,12-Feb-2008,G,736.8,20
12,INTL_GOALIES,"SELIVANOV, VLADIMIR",DYNAMO MOSCOW JR.,RUSSIA-JR.,25-Jul-2008,G,710.5,20
13,INTL_GOALIES,"TJARNLUND, MILO",ROGLE JR.,SWEDEN-JR.,17-Mar-2008,G,684.2,20
14,INTL_GOALIES,"POVAROV, MIKHAIL",UFA JR.,RUSSIA-JR.,10-Jan-2008,G,657.9,20
15,INTL_GOALIES,"KERKOLA, PATRIK",KALPA,FINLAND,29-Mar-2007,G,631.6,20
16,INTL_GOALIES,"PLUMINS, PATRIKS",ZEMGALE,LATVIA,07-Jan-2008,G,605.3,20
17,INTL_GOALIES,"PSOHLAVEC, MARTIN",KARLOVY VARY JR.,CZECHIA-JR.,06-May-2008,G,578.9,20
18,INTL_GOALIES,"RIIHIMAKI, AARNI",JYP JR.,FINLAND-JR.,28-Jun-2008,G,552.6,20
19,INTL_GOALIES,"AINASTO, JUUSO",JOKERIT JR.,FINLAND-JR.,17-Mar-2008,G,526.3,20
20,INTL_GOALIES,"STENGARD, GUSTAV",VASTERAS JR.,SWEDEN-JR.,03-Aug-2008,G,500.0,20
